Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
475430,KR7475430005,키스트론,KOSDAQ,중견기업부,4170,1,125,3.09,4100,4205,4080,53286,221611689,74426618700,17848110,KSQ
052900,KR7052900008,KX하이텍,KOSDAQ,우량기업부,968,1,18,1.89,967,969,950,423129,405954280,74214711120,76668090,KSQ
000440,KR7000440008,중앙에너비스,KOSDAQ,중견기업부,11900,1,290,2.5,11620,11970,11620,23257,275184685,74102847000,6227130,KSQ
128660,KR7128660008,피제이메탈,KOSDAQ,우량기업부,2985,2,-5,-0.17,3020,3020,2975,52934,158078948,74038056465,24803369,KSQ
371950,KR7371950007,풍원정밀,KOSDAQ,기술성장기업부,3250,3,0,0.0,3380,3380,3200,22323,72524410,74033927500,22779670,KSQ
017480,KR7017480005,삼현철강,KOSDAQ,우량기업부,4780,2,-65,-1.34,4800,4810,4730,16561,78841280,73817014200,15442890,KSQ
085670,KR7085670008,뉴프렉스,KOSDAQ,우량기업부,3010,1,70,2.38,2940,3030,2920,32605,97078840,73747290610,24500761,KSQ
265560,KR7265560003,영화테크,KOSDAQ,우량기업부,6890,1,50,0.73,6840,6900,6840,5484,37615090,73655340200,10690180,KSQ
170030,KR7170030001,현대공업,KOSDAQ,우량기업부,4795,1,60,1.27,4760,4810,4720,13319,63396790,73555300000,15340000,KSQ
067370,KR7067370007,선바이오,KOSDAQ,기술성장기업부,6020,2,-70,-1.15,6050,6150,5930,13300,80342570,73527322820,12213841,KSQ
338220,KR7338220007,뷰노,KOSDAQ,기술성장기업부,5250,1,30,0.57,5270,5460,5000,57124,299331270,73509570750,14001823,KSQ
020710,KR7020710000,시공테크,KOSDAQ,우량기업부,3665,1,30,0.83,3640,3690,3605,50305,183680870,73475810050,20047970,KSQ
303810,KR7303810006,동국생명과학,KOSDAQ,중견기업부,2280,2,-5,-0.22,2300,2300,2260,33810,76967256,72923839200,31984140,KSQ
389140,KR7389140005,포바이포,KOSDAQ,벤처기업부,5100,1,200,4.08,5000,5140,4905,25079,125831682,72775648500,14269735,KSQ
011320,KR7011320009,유니크,KOSDAQ,우량기업부,3760,1,25,0.67,3800,3800,3695,1189,4440655,72645813200,19320695,KSQ
228670,KR7228670006,레이,KOSDAQ,벤처기업부,4640,2,-155,-3.23,4795,4815,4600,38997,182030604,72569697440,15640021,KSQ
012790,KR7012790002,신일제약,KOSDAQ,우량기업부,6050,1,30,0.5,6020,6110,5960,13745,83037570,72517810750,11986415,KSQ
054040,KR7054040001,한국컴퓨터,KOSDAQ,우량기업부,4505,1,30,0.67,4495,4535,4475,9594,43046436,72401161450,16071290,KSQ
171120,KR7171120009,라이온켐텍,KOSDAQ,우량기업부,2010,1,10,0.5,2015,2015,1998,27997,56049789,72162537600,35901760,KSQ
010280,KR7010280006,아이티센엔텍,KOSDAQ,우량기업부,5540,1,180,3.36,5400,5580,5360,24020,132245930,72157153780,13024757,KSQ
080010,KR7080010002,이상네트웍스,KOSDAQ,중견기업부,7320,2,-80,-1.08,7370,7400,7150,4277,30973555,71992719720,9835071,KSQ
019540,KR7019540004,일지테크,KOSDAQ,우량기업부,5320,1,40,0.76,5330,5370,5250,45598,241873730,71891820000,13513500,KSQ
347000,KR7347000002,센코,KOSDAQ,기술성장기업부,1900,1,17,0.9,1886,1920,1871,82778,157279271,71840607400,37810846,KSQ
109860,KR7109860007,동일금속,KOSDAQ,우량기업부,7870,1,570,7.81,7300,7870,7270,1318,10170870,71617000000,9100000,KSQ
076610,KR7076610005,해성옵틱스,KOSDAQ,벤처기업부,1209,1,18,1.51,1191,1217,1174,485762,582330836,71616541620,59236180,KSQ
092040,KR7092040005,아미코젠,KOSDAQ,기술성장기업부,1013,1,27,2.74,981,1024,981,401260,403815566,71573907031,70655387,KSQ
